City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
258,nar'yan-mar,67.6713,53.087,17.51,92,100,6.26,RU,1692123782
259,orta nova,41.3299,15.7107,29.08,39,0,4.12,IT,1692123782
260,chany,55.3121,76.7647,11.28,89,66,1.59,RU,1692123783
261,meiktila,20.8667,95.8667,25.52,87,75,5.74,MM,1692123783
262,paso de los toros,-32.8167,-56.5167,25.6,40,52,5.47,UY,1692123522
263,malvan,16.0667,73.4667,26.44,83,38,1.19,IN,1692123784
264,klyuchi,52.2667,79.1667,12.62,83,99,2.26,RU,1692123784
265,kitami,43.8031,143.8908,17.16,95,96,3.7,JP,1692123769
266,uturoa,-16.7333,-151.4333,25.04,81,26,7.97,PF,1692123784
267,choma,-16.8065,26.9531,17.56,23,0,2.01,ZM,1692123785
268,leava,-14.3,-178.1667,27.64,80,37,6.41,WF,1692123785
269,dera bugti,29.0307,69.151,33.49,45,99,4.99,PK,1692123786
270,chui,-33.6971,-53.4616,20.11,45,71,4.26,UY,1692123786
271,pangai,-19.8,-174.35,24.06,83,75,5.14,TO,1692123786
272,benjamin constant,-4.3831,-70.0311,30.07,65,75,2.06,BR,1692123787
273,saint-pierre,-21.3393,55.4781,22.82,78,100,1.54,RE,1692123504
274,kangding,30.0513,101.9603,16.95,99,100,1.51,CN,1692123787
275,umm kaddadah,13.6017,26.6876,34.42,22,84,2.59,SD,1692123787
276,moussoro,13.6408,16.4901,32.81,45,80,0.74,TD,1692123787
277,yabelo,4.8833,38.0833,19.53,46,39,6.16,ET,1692123788
278,hadibu,12.65,54.0333,26.47,79,35,7.95,YE,1692123788
279,tefe,-3.3542,-64.7114,30.06,62,40,1.54,BR,1692123747
280,la riviera,38.5668,-121.3569,39.6,39,0,2.57,US,1692123788
281,fuyuan,46.4333,127.0833,20.94,91,49,1.14,CN,1692123788
282,loukhi,66.0764,33.0381,16.78,78,70,2.6,RU,1692123794
283,benghazi,32.1167,20.0667,26.51,68,0,5.9,LY,1692123794
284,ulsteinvik,62.3432,5.8487,17.73,90,100,4.02,NO,1692123795
285,nemuro,43.3236,145.575,16.93,93,82,6.27,JP,1692123795
286,regina,50.4501,-104.6178,25.02,51,75,3.09,CA,1692123595
287,saynshand,44.8824,110.1163,23.46,50,16,5.82,MN,1692123795
288,coahuayana de hidalgo,18.7,-103.6583,31.45,67,100,1.52,MX,1692123795
289,yur'yevets,57.3201,43.1041,18.03,93,37,4.78,RU,1692123796
290,mundybash,53.211,87.2983,9.25,87,84,1.39,RU,1692123796
291,blackwater,-23.5833,148.8833,16.26,50,17,1.36,AU,1692123796
292,papatowai,-46.5619,169.4708,3.29,86,89,2.44,NZ,1692123797
293,punta arenas,-53.15,-70.9167,2.54,61,43,7.52,CL,1692123777
294,saint-philippe,-21.3585,55.7679,22.77,81,4,4.4,RE,1692123797
295,nova sintra,14.8667,-24.7167,24.67,77,47,0.87,CV,1692123798
296,zabljak,43.1542,19.1232,13.0,79,41,0.97,ME,1692123798
297,soledade,-28.8183,-52.5103,22.19,55,2,2.06,BR,1692123797
298,as suwayq,23.8494,57.4386,33.13,53,100,1.37,OM,1692123799
299,strezhevoy,60.7333,77.5889,14.38,72,100,3.16,RU,1692123799
300,yuzhno-kurilsk,44.0306,145.8556,16.47,95,96,5.1,RU,1692123799
301,guerrero negro,27.9769,-114.0611,26.8,57,70,5.45,MX,1692123800
302,la passe,45.5549,-0.8967,25.13,65,98,5.6,FR,1692123800
303,rongelap,11.1635,166.8941,28.36,78,98,6.16,MH,1692123800
304,xihe,31.6864,113.4659,24.66,77,27,0.18,CN,1692123801
305,petal,31.3466,-89.2601,38.46,49,0,2.57,US,1692123801
306,pokhara,28.2333,83.9833,22.48,94,99,1.16,NP,1692123801
307,constantia,44.1833,28.65,25.39,66,95,8.08,RO,1692123801
308,vilyuysk,63.7553,121.6247,14.1,82,100,2.43,RU,1692123802
309,manokwari,-0.8667,134.0833,25.32,82,68,1.69,ID,1692123803
310,rikaze,29.25,88.8833,15.72,55,96,1.86,CN,1692123804
311,georgetown,5.4112,100.3354,27.96,87,20,1.03,MY,1692123804
312,sisimiut,66.9395,-53.6735,11.99,65,47,4.53,GL,1692123805
313,tangalle,6.024,80.7911,26.09,87,15,4.05,LK,1692123805
314,milici,44.1711,19.0903,20.65,86,41,1.23,BA,1692123806
315,tambovka,50.0969,128.0489,19.55,91,55,1.13,RU,1692123807
316,kapuskasing,49.4169,-82.4331,23.05,46,40,5.14,CA,1692123807
317,newman,37.3138,-121.0208,34.02,25,4,1.61,US,1692123809
318,sheridan,44.8333,-106.9173,34.06,25,0,1.54,US,1692123809
319,ostrogozhsk,50.8664,39.0756,22.59,62,2,3.04,RU,1692123810
320,contamana,-7.3333,-75.0167,33.79,39,72,1.39,PE,1692123810
321,tervel,43.75,27.4,24.05,58,64,3.73,BG,1692123810
322,tura,25.5198,90.2201,25.03,92,99,1.86,IN,1692123810
323,remire-montjoly,4.9167,-52.2667,31.02,74,21,4.12,GF,1692123811
324,palikir - national government center,6.9248,158.1611,26.66,78,100,4.28,FM,1692123811
325,horta,38.5333,-28.6333,25.01,76,0,0.89,PT,1692123811
326,udachny,66.4167,112.4,16.36,72,20,2.45,RU,1692123811
327,ishimbay,53.4545,56.0415,23.5,38,92,2.91,RU,1692123812
328,glace bay,46.1969,-59.957,22.37,84,75,4.12,CA,1692123812
329,necochea,-38.5473,-58.7368,19.51,54,100,3.61,AR,1692123812
330,kholmsk,47.0511,142.0569,15.93,96,98,2.48,RU,1692123812
331,nadym,65.5333,72.5167,11.6,80,12,3.7,RU,1692123812
